"","X","LRR","var.LRR","col","scale","pr.st","row","Studies"
"2",0.5,-0.25,0.0184740439682246,"darkgreen",1.58876232962463,-0.524017467248908,2,"Allison_2008"
"3",1.2,0.15,0.00729022380987096,"darkgreen",1.41360673604615,-0.37117903930131,3,"Allison_2010"
"9",0.65,0.17,0.00872752661895619,"darkgreen",1.44750408668793,-0.491266375545852,9,"Bergner_2004"
"16",0.8,-0.29,0.107181136120043,"darkgreen",1.91995148178024,-0.458515283842795,16,"Bokhors_2007"
"17",0.8,0.34,0.0814995925020375,"darkgreen",1.86835184993311,-0.458515283842795,17,"Bokhorst_2007"
"18",0.8,0.17,0.0369276218611521,"darkgreen",1.71922836675423,-0.458515283842795,18,"Bokhorst_2007"
"28",3.5,0.48,0.0316555872111428,"darkgreen",1.69021037324977,0.131004366812227,28,"Briones_2009"
"29",5,0.09,0.0155038759689922,"darkgreen",1.55574488951367,0.458515283842795,29,"Bronson_2008"
"30",5,-0.22,0.00684931506849315,"darkgreen",1.40185495791082,0.458515283842795,30,"Bronson_2008"
"37",1.35,0.29,0.0332115576220525,"darkgreen",1.69924913969542,-0.338427947598253,37,"Christensen_1997"
"40",3.15,0.06,0.100401606425703,"darkgreen",1.9076427841578,0.0545851528384279,40,"Comstedt_2006"
"43",3,0.07,0.00333333333333333,"darkgreen",1.26619306951079,0.0218340611353712,43,"De Boeck_2007"
"49",4,-0.1,0.0552181115405853,"darkgreen",1.79501681050048,0.240174672489083,49,"Edwards_1999"
"50",4,0.06,0.0501504513540622,"darkgreen",1.77688334054054,0.240174672489083,50,"Edwards_1999"
"52",1.1,0.06,0.00666666666666667,"darkgreen",1.39676347820891,-0.393013100436681,52,"Emmett_2004"
"53",0.6,0.03,0.00666666666666667,"darkgreen",1.39676347820891,-0.502183406113537,53,"Emmett_2004"
"54",0.5,0.17,0.00666666666666667,"darkgreen",1.39676347820891,-0.524017467248908,54,"Emmett_2004"
"55",0.9,0,0.00666666666666667,"darkgreen",1.39676347820891,-0.436681222707424,55,"Emmett_2004"
"62",3,-0.27,0.0311526479750779,"darkgreen",1.68719349691714,0.0218340611353712,62,"Garten Jr_2009"
"63",3,0.09,0.00954380606986066,"darkgreen",1.46434660862506,0.0218340611353712,63,"Garten Jr_2009"
"67",3,0.04,0.00222222222222222,"darkgreen",1.18981427671855,0.0218340611353712,67,"Grogan_2000"
"68",3,0.06,0.00222222222222222,"darkgreen",1.18981427671855,0.0218340611353712,68,"Grogan_2000"
