"","X","LRR","var.LRR","col","scale","pr.st","Source","System"
"1",4.947660495,-0.196210669,0.01663817,"darkblue",1.0010583807091,0.169678645103385,"Baden&&2010","M"
"2",4.947660495,0.221986813,0.043896811,"darkblue",1.00278473394628,0.169678645103385,"Baden&&2010","M"
"3",4.947660495,0.26438651,0.04780204,"darkblue",1.00302836237903,0.169678645103385,"Baden&&2010","M"
"4",4.947660495,-0.603066747,0.092058135,"darkblue",1.00572752931962,0.169678645103385,"Baden&&2010","M"
"5",4.947660495,-0.061195561,0.037864719,"darkblue",1.00240662381663,0.169678645103385,"Baden&&2010","M"
"6",4.947660495,0.161969328,0.017616345,"darkblue",1.00112112748607,0.169678645103385,"Baden&&2010","M"
"7",4.947660495,-2.04492203,0.914732785,"darkblue",1.04236375137727,0.169678645103385,"Baden&&2010","M"
"8",4.947660495,0.802072762,0.235426661,"darkblue",1.01377570181069,0.169678645103385,"Baden&&2010","M"
"9",4.947660495,1.245644563,0.313313479,"darkblue",1.01776460746974,0.169678645103385,"Baden&&2010","M"
"10",4.947660495,-0.856776604,0.257146512,"darkblue",1.0149128054161,0.169678645103385,"Baden&&2010","M"
"29",1.609437912,1.763588592,0.621315193,"darkblue",1.03151079931534,-0.547459922666897,"Korpinen&&2007","M"
"30",1.609437912,0.538996501,0.331632653,"darkblue",1.0186684153422,-0.547459922666897,"Korpinen&&2007","M"
"31",1.609437912,0.587786665,0.468641975,"darkblue",1.025058057217,-0.547459922666897,"Korpinen&&2007","M"
"32",1.609437912,1.386294361,1.0625,"darkblue",1.04721414678918,-0.547459922666897,"Korpinen&&2007","M"
"33",1.609437912,0,0.5,"darkblue",1.02643649494276,-0.547459922666897,"Korpinen&&2007","M"
"34",1.609437912,1.203972804,0.271111111,"darkblue",1.01563356708032,-0.547459922666897,"Korpinen&&2007","M"
"35",1.609437912,1.098612289,1.25,"darkblue",1.05289124183033,-0.547459922666897,"Korpinen&&2007","M"
"36",1.609437912,0.875468737,0.117160494,"darkblue",1.00721030225317,-0.547459922666897,"Moksnes&&","M"
"37",1.609437912,1.47590652,0.246173469,"darkblue",1.01434080859426,-0.547459922666897,"Moksnes&&","M"
"38",1.609437912,-1.832581464,0.1025,"darkblue",1.00634841891241,-0.547459922666897,"Moksnes&&","M"
"39",1.609437912,-1.442383828,0.04226368,"darkblue",1.00268258038442,-0.547459922666897,"Moksnes&&","M"
"42",1.098612289,0.510825624,0.484104938,"darkblue",1.02574141883381,-0.65719878715249,"Reiss&&2014","M"
"43",1.791759469,2.816738507,0.525240356,"darkblue",1.02752523897434,-0.508292426488998,"Reiss&&2014","M"
"44",2.197224577,1.609437912,0.024691358,"darkblue",1.00157317899482,-0.421187789334867,"Sieben&&2011","M"
"45",2.079441542,0,0.08,"darkblue",1.00500310457329,-0.446490702764812,"Douglass&&2007","M"
"46",2.079441542,-0.15415068,2.798185941,"darkblue",1.08705331727813,-0.446490702764812,"Douglass&&2007","M"
"47",2.079441542,-0.405465108,0.043402778,"darkblue",1.00275384868363,-0.446490702764812,"Douglass&&2007","M"
"48",2.079441542,0,0.3125,"darkblue",1.01772418129903,-0.446490702764812,"Douglass&&2007","M"
"55",4.947660495,0.015209419,0.026438897,"darkblue",1.00168435571558,0.169678645103385,"Baden&&2010","M"
"56",4.947660495,0.335646132,0.016411709,"darkblue",1.00104384535863,0.169678645103385,"Baden&&2010","M"
"57",4.947660495,0.038714512,0.020254901,"darkblue",1.00129008205322,0.169678645103385,"Baden&&2010","M"
"58",4.947660495,-0.147682572,0.026118061,"darkblue",1.00166395863563,0.169678645103385,"Baden&&2010","M"
"59",4.947660495,0.099865996,0.021884033,"darkblue",1.00139418216601,0.169678645103385,"Baden&&2010","M"
"60",4.947660495,0.084260344,0.016867741,"darkblue",1.0010731123698,0.169678645103385,"Baden&&2010","M"
"61",4.947660495,0.630857697,0.939553229,"darkblue",1.04320408497853,0.169678645103385,"Baden&&2010","M"
"62",4.947660495,0.890565841,0.204069511,"darkblue",1.01209828696713,0.169678645103385,"Baden&&2010","M"
"63",4.947660495,-0.400571648,0.411096603,"darkblue",1.0224501311631,0.169678645103385,"Baden&&2010","M"
"64",4.947660495,-0.690007461,0.357881059,"darkblue",1.01994198610448,0.169678645103385,"Baden&&2010","M"
"83",1.609437912,2.302585093,0.222222222,"darkblue",1.01307459462876,-0.547459922666897,"Korpinen&&2007","M"
"84",1.609437912,0.133531393,0.331632653,"darkblue",1.0186684153422,-0.547459922666897,"Korpinen&&2007","M"
"85",1.609437912,0.336472237,0.343673469,"darkblue",1.01925572276241,-0.547459922666897,"Korpinen&&2007","M"
"86",1.609437912,1.098612289,1.111111111,"darkblue",1.04873407587448,-0.547459922666897,"Korpinen&&2007","M"
"87",1.609437912,1.386294361,0.3125,"darkblue",1.01772418129903,-0.547459922666897,"Korpinen&&2007","M"
"88",1.609437912,1.386294361,0.361111111,"darkblue",1.02009700401556,-0.547459922666897,"Korpinen&&2007","M"
"89",1.609437912,1.791759469,1.25,"darkblue",1.05289124183033,-0.547459922666897,"Korpinen&&2007","M"
"90",5.438079309,0.980829253,0.1025,"darkblue",1.00634841891241,0.27503358688306,"Moksnes&&","M"
"91",5.438079309,2.014903021,0.1025,"darkblue",1.00634841891241,0.27503358688306,"Moksnes&&","M"
"92",5.438079309,-5.521460918,0.29,"darkblue",1.01659599006826,0.27503358688306,"Moksnes&&","M"
"93",5.438079309,-5.616771098,0.268595041,"darkblue",1.01550429060295,0.27503358688306,"Moksnes&&","M"
"97",3.912023005,0.693147181,0.32,"darkblue",1.01809595115872,-0.0528036992705369,"Persson&&2008","M"
"99",3.912023005,1.06784063,0.59723657,"darkblue",1.03053455308423,-0.0528036992705369,"Persson&&2008","M"
"101",3.912023005,2.833213344,0.231453287,"darkblue",1.01356552155052,-0.0528036992705369,"Persson&&2008","M"
"105",5.010635294,-0.15415068,0.437641723,"darkblue",1.02366610666031,0.183207298761913,"Eriksson&&","M"
"106",5.010635294,-0.287682072,0.3125,"darkblue",1.01772418129903,0.183207298761913,"Eriksson&&","M"
"107",5.010635294,0,0.165555556,"darkblue",1.00997720794593,0.183207298761913,"Eriksson&&","M"
"108",5.010635294,-0.09531018,0.114380165,"darkblue",1.00704772052742,0.183207298761913,"Eriksson&&","M"
"109",5.010635294,0.162518929,0.259550173,"darkblue",1.01503743541493,0.183207298761913,"Eriksson&&","M"
"110",5.010635294,0,0.18,"darkblue",1.01078080940129,0.183207298761913,"Eriksson&&","M"
"111",2.890371758,0.693147181,0.5,"darkblue",1.02643649494276,-0.272281428456549,"Duffy&&2005","M"
"112",2.890371758,0.105360516,0.022345679,"darkblue",1.00142365076623,-0.272281428456549,"Duffy&&2005","M"
"212",2.995732274,0.693147181,0.380208333,"darkblue",1.02100607478779,-0.249647200910261,"ETB015","F"
"214",2.995732274,1.272965676,44.63318639,"darkblue",1.24926075077853,-0.249647200910261,"ETB015","F"
"216",4.043051268,0.693147181,0.004974271,"darkblue",1.00030549199549,-0.0246553602880587,"ETB016","F"
"218",3.377587516,-0.133531393,0.005973083,"darkblue",1.00037030515681,-0.167614587884992,"ETB017","F"
"220",1.088379616,0.567984038,0.038831219,"darkblue",1.00246735462966,-0.659397036153935,"ETB020","F"
"222",3.850147602,0.297834444,1.699748039,"darkblue",1.06478080198717,-0.0660961735691655,"ETB021","F"
"224",5.117993812,1.731655545,0.418424407,"darkblue",1.02278807303969,0.206270750021436,"ETB021","F"
"226",1.609437912,0.810930216,0.033818673,"darkblue",1.00215177178346,-0.547459922666897,"ETB026","F"
"228",1.609437912,2.185925022,1126947.022,"darkblue",1.90917841312995,-0.547459922666897,"ETB026","F"
"230",1.609437912,-0.113835143,0.079694842,"darkblue",1.00498466662933,-0.547459922666897,"ETB027","F"
"232",1.609437912,0.460449416,4533580.472,"darkblue",2,-0.547459922666897,"ETB027","F"
"234",0.783159419,1.481317576,0.189555957,"darkblue",1.01130705647173,-0.72496641311694,"ETB030","F"
"236",0.783159419,1.702498445,0.873387108,"darkblue",1.0409394438909,-0.72496641311694,"ETB031","F"
"238",2.708050201,1.887069649,0.108573105,"darkblue",1.00670683615883,-0.311448924634448,"ETB032","F"
"239",4.272588722,-0.659380318,0.02171767,"darkblue",1.00138355932682,0.0246553602880585,"JES052","M"
"240",4.272588722,-0.579818495,0.014897959,"darkblue",1.00094660238744,0.0246553602880585,"JES052","M"
"241",4.272588722,-0.736164566,0.054710848,"darkblue",1.00345715385071,0.0246553602880585,"JES052","M"
"242",4.272588722,-0.863646998,0.030940469,"darkblue",1.00196987183543,0.0246553602880585,"JES052","M"
"243",4.272588722,-0.875468737,0.021513889,"darkblue",1.00137054486476,0.0246553602880585,"JES052","M"
"244",4.272588722,-0.313657559,0.024518514,"darkblue",1.00156217252647,0.0246553602880585,"JES052","M"
"245",4.272588722,-1.268367967,0.000279782,"darkblue",1,0.0246553602880585,"JES052","M"
"246",4.272588722,-0.758744463,0.012238849,"darkblue",1.00077543003793,0.0246553602880585,"JES052","M"
"247",4.272588722,-1.623424154,0.008553595,"darkblue",1.00053745778766,0.0246553602880585,"JES052","M"
"248",4.272588722,-1.307351159,0.022916298,"darkblue",1.0014600571392,0.0246553602880585,"JES052","M"
"249",4.272588722,-1.294486812,0.022903201,"darkblue",1.00145922175812,0.0246553602880585,"JES052","M"
"250",4.272588722,-1.116630794,0.025461892,"darkblue",1.00162222296506,0.0246553602880585,"JES052","M"
