"","X","LRR","var.LRR","col","scale","pr.st","Source","System"
"129",1.394593163,-0.624239746,0.09174389,"darkblue",1.00223943356978,-0.103358192807129,"Diehl (1992)","F"
"130",2.493205453,-0.300540655,0.059671907,"darkblue",1.00147766583751,-0.0300268410116922,"Diehl (1992)","F"
"131",2.493205453,-0.394419966,0.101557124,"darkblue",1.00246804911179,-0.0300268410116922,"Diehl (1992)","F"
"132",4.532599493,-0.997685569,0.124296162,"darkblue",1.00299006004565,0.106100820364421,"Dudgeon (1991)","F"
"133",4.532599493,-0.426800876,0.108960499,"darkblue",1.00263917918204,0.106100820364421,"Dudgeon (1991)","F"
"134",5.225746674,-1.173837274,0.070614774,"darkblue",1.00174013955783,0.15236775205506,"Dudgeon (1991)","F"
"135",5.225746674,-0.415771353,0.025541197,"darkblue",1.00064124931334,0.15236775205506,"Dudgeon (1991)","F"
"136",4.380289014,-0.483647603,0.051207234,"darkblue",1.00127276766576,0.0959342371035693,"Greenlees et al. (2006)","T"
"137",3.729701448,-0.609046484,0.06432227,"darkblue",1.0015895382916,0.0525081202556658,"Greenlees et al. (2006)","T"
"138",3.750092138,-0.434492716,0.046220658,"darkblue",1.00115128756037,0.0538691799082405,"Greenlees et al. (2006)","T"
"139",3.750033348,-0.372367694,0.059382599,"darkblue",1.00147068982491,0.0538652557302468,"Greenlees et al. (2006)","T"
"140",9.346291813,1.118334832,0.347155973,"darkblue",1.00761014311962,0.427410319781101,"Hixon & Beets (1993)","M"
"141",-5.635189683,-0.330883165,0.010438885,"darkblue",1.00026222522047,-0.572589680218899,"Joern (1992)","T"
"142",-5.635189683,-0.009236686,0.007132505,"darkblue",1.00017848903336,-0.572589680218899,"Joern (1992)","T"
"143",-5.635189683,-0.187644986,0.01745311,"darkblue",1.00043896143241,-0.572589680218899,"Joern (1992)","T"
"144",-5.635189683,-0.332866266,0.057422674,"darkblue",1.00142338040681,-0.572589680218899,"Joern (1992)","T"
"145",-5.635189683,-0.122221614,0.053882855,"darkblue",1.00133771227104,-0.572589680218899,"Joern (1992)","T"
"146",-1.427116356,-0.054999963,0.044033746,"darkblue",1.00109782850784,-0.291704687094318,"Kneitell & Miller (2002)","T"
"147",0.182321557,-2.194998523,0.039053677,"darkblue",1.00097567171304,-0.184276198568019,"Kneitell & Miller (2002)","T"
"148",-1.427116356,-0.328999778,0.053402581,"darkblue",1.00132606686444,-0.291704687094318,"Kneitell & Miller (2002)","T"
"149",0.182321557,0.218999853,0.053502344,"darkblue",1.00132848629689,-0.184276198568019,"Kneitell & Miller (2002)","T"
"150",-1.427116356,0.712999521,0.049963399,"darkblue",1.00124252009928,-0.291704687094318,"Kneitell & Miller (2002)","T"
"151",0.182321557,0.273999816,0.031091244,"darkblue",1.0007791384243,-0.184276198568019,"Kneitell & Miller (2002)","T"
"152",5.607763377,-0.316472852,0.07114774,"darkblue",1.0017528545805,0.177867012799199,"Mancinelli et al. (2002)","F"
"153",6.696311533,-0.743946484,0.079340132,"darkblue",1.00194750922317,0.250526592980948,"Mancinelli et al. (2002)","F"
"154",5.607763377,-1.162444244,0.041304674,"darkblue",1.00103095907569,0.177867012799199,"Mancinelli et al. (2007)","F"
"155",6.696311533,-1.052586597,0.139602767,"darkblue",1.00333553565948,0.250526592980948,"Mancinelli et al. (2007)","F"
