"","X","LRR","var.LRR","scale","col","row","Citation","pr.st"
"245",4.615120517,1.442383828,0.018187034,1.40708880288407,"darkgreen",245,"Turner et al. 2011",0.51247240833751
"246",3.230239584,0.139761942,0.005040958,1.470313250003,"darkgreen",246,"Turner et al. 2011",0.272625694067046
"248",3.535369595,-0.044451763,0.03460516,1.37539096568879,"darkgreen",248,"Turner et al. 2011",0.325470981210342
"249",4.615120517,1.810108608,0.027087202,1.38746027656686,"darkgreen",249,"Turner et al. 2011",0.51247240833751
"250",3.230239584,0.030771659,0.002842254,1.49854734553795,"darkgreen",250,"Turner et al. 2011",0.272625694067046
"251",2.49627964,0.916290732,0.00462963,1.47450743616191,"darkgreen",251,"Turner et al. 2011",0.145511603043212
"252",3.535369595,0.432133355,0.006229483,1.45988202472829,"darkgreen",252,"Turner et al. 2011",0.325470981210342
"253",4.615120517,1.055594904,0.007495095,1.45076847908695,"darkgreen",253,"Turner et al. 2011",0.51247240833751
"254",3.230239584,-0.125454306,0.001249052,1.53906126904532,"darkgreen",254,"Turner et al. 2011",0.272625694067046
"255",2.49627964,0.929896384,0.002019469,1.51538745814006,"darkgreen",255,"Turner et al. 2011",0.145511603043212
"256",3.535369595,0.226364166,0.004539413,1.47547711650744,"darkgreen",256,"Turner et al. 2011",0.325470981210342
"257",4.615120517,0.587786665,0.003140741,1.49362674979965,"darkgreen",257,"Turner et al. 2011",0.51247240833751
"258",3.230239584,0,0.000765228,1.56320400209777,"darkgreen",258,"Turner et al. 2011",0.272625694067046
"259",2.49627964,0.940983344,0.001047631,1.54772631909381,"darkgreen",259,"Turner et al. 2011",0.145511603043212
"260",3.535369595,0.430782916,0.003991069,1.48182061689397,"darkgreen",260,"Turner et al. 2011",0.325470981210342
"261",4.615120517,0.045809536,0.000311272,1.60752653924931,"darkgreen",261,"Turner et al. 2011",0.51247240833751
"264",3.535369595,-0.015037877,7.53892e-05,1.67739760858924,"darkgreen",264,"Turner et al. 2011",0.325470981210342
"284",2.493205453,-0.025502293,0.000478002,1.58639044956615,"darkgreen",284,"Ogle et al. 2003",0.144979186404761
"285",0.003992021,-0.033522692,0.00153058,1.52904568779274,"darkgreen",285,"Ogle et al. 2003",-0.286126223855881
"286",0.067658648,0.032789823,0.001818181,1.52056116077294,"darkgreen",286,"Ogle et al. 2003",-0.27509983817119
"287",2.014903021,-0.016172859,0.002103348,1.5133822044525,"darkgreen",287,"Ogle et al. 2003",0.0621422695195948
"288",1.945910149,-0.098601977,0.003912895,1.48279534109297,"darkgreen",288,"Ogle et al. 2003",0.050193434595977
"289",0,-0.049132689,0.001915277,1.51799763187921,"darkgreen",289,"Ogle et al. 2003",-0.28681759962497
"290",0,0.00806456,0.000811159,1.56033179199028,"darkgreen",290,"Ogle et al. 2003",-0.28681759962497
"291",2.066862759,0.182321557,0.000867556,1.55701977386054,"darkgreen",291,"Ogle et al. 2003",0.0711411459837668
"292",2.493205453,0.341069946,0.017553122,1.4088369109738,"darkgreen",292,"Ogle et al. 2003",0.144979186404761
"293",0.003992021,0.06094601,0.028071604,1.38570132471787,"darkgreen",293,"Ogle et al. 2003",-0.286126223855881
"294",0.067658648,0.193371393,0.033714739,1.37667543276189,"darkgreen",294,"Ogle et al. 2003",-0.27509983817119
"295",2.014903021,-0.174509017,0.018641988,1.40587135718549,"darkgreen",295,"Ogle et al. 2003",0.0621422695195948
"296",1.945910149,0.39111766,0.006926984,1.45465248889538,"darkgreen",296,"Ogle et al. 2003",0.050193434595977
"297",0,0.09164459,0.007856603,1.44844738900933,"darkgreen",297,"Ogle et al. 2003",-0.28681759962497
"298",0,-0.161366192,0.057472218,1.3503941839647,"darkgreen",298,"Ogle et al. 2003",-0.28681759962497
