"","X","LRR","var.LRR","col","scale","pr.st","ref"
"1",0.51589409,4.144688247,0.512205983,"darkblue",1.27975853126552,0.0158959866773383,92
"2",0.5,3.820381763,1.408669663,"darkblue",1.16088187636121,0,49
"3",0.98,3.663561646,0.044109139,"darkblue",1.56788753466894,0.480057279474472,96
"4",0.84,2.78,0.280347214,"darkblue",1.35057848480627,0.340040572961085,57
"5",1,2.240709689,0.262203863,"darkblue",1.35844033464509,0.500059666119242,91
"6",0.51589409,2.197224577,0.771604938,"darkblue",1.23161139651618,0.0158959866773383,92
"7",0.882352941,1.992430165,0.085795455,"darkblue",1.48971164995657,0.38239856803234,73
"8",0.5,1.975038422,0.724888604,"darkblue",1.2389501271499,0,49
"9",0.85,1.763588592,0.063057694,"darkblue",1.52589327694726,0.350041766283469,63
"10",0.882352941,1.742969305,0.675098982,"darkblue",1.24731161862355,0.38239856803234,73
"11",0.85,1.694797761,1.025291458,"darkblue",1.19820951532369,0.350041766283469,63
"12",0.796812749,1.536039747,0.233443903,"darkblue",1.37209211054878,0.296848168329749,28
"13",0.5,1.511303906,0.671261116,"darkblue",1.24798152738252,0,49
"14",0.132678864,1.444007773,0.072182109,"darkblue",1.51001341669895,-0.367364969253401,93
"15",0.188235294,1.416233826,0.226633028,"darkblue",1.3755713961944,-0.311801909580247,99
"16",0.477923376,1.387927015,0.071405246,"darkblue",1.51128492261275,-0.0220792584529601,127
"17",0.5,1.386457374,0.730159797,"darkblue",1.23809875530789,0,49
"18",0.3,1.286395867,0.18076357,"darkblue",1.40214420371908,-0.200023866447697,141
"19",0.191,1.209363653,0.026130912,"darkblue",1.6294069819434,-0.309036873661692,9
"20",0.84,1.158663417,0.019473682,"darkblue",1.66395988792025,0.340040572961085,57
"21",0.49,1.141432286,0.629101149,"darkblue",1.2556036169884,-0.0100011933223848,86
"22",0.3,1.114989537,0.198365446,"darkblue",1.39122552297596,-0.200023866447697,141
"23",0.468680089,1.114989537,0.198365446,"darkblue",1.39122552297596,-0.0313236484750887,56
"24",0.666666667,1.080912712,0.304420297,"darkblue",1.34089838360236,0.166686555706454,125
"25",0.45,1.054649165,0.760604754,"darkblue",1.23329862970982,-0.0500059666119242,150
"26",0.566354194,1.001885462,0.062974899,"darkblue",1.52604766269519,0.0663621121945028,50
"27",0.1,0.976915354,0.273019031,"darkblue",1.35369088143938,-0.400047732895394,133
"28",0.191,0.902867712,0.032696567,"darkblue",1.60306813274411,-0.309036873661692,9
"29",0.982814619,0.820466659,0.224454649,"darkblue",1.37670630707425,0.482872234349258,105
"30",0.802532967,0.714300673,0.032072532,"darkblue",1.60533246647631,0.302569068936167,105
"31",0.4,0.710853102,0.128164741,"darkblue",1.44255101376553,-0.100011933223848,80
"32",0.84,0.71,0.12182518,"darkblue",1.44851196698431,0.340040572961085,57
"33",0.06475029,0.70297101,0.003376289,"darkblue",1.8698621332201,-0.435301649322194,129
"34",0.406504065,0.686274301,0.14459833,"darkblue",1.42837483884086,-0.0935070920792127,25
"35",0.25,0.684178511,0.054491983,"darkblue",1.54304857781792,-0.250029833059621,71
"36",0.032971619,0.660805922,0.02181579,"darkblue",1.65061484600013,-0.46708411254214,129
"37",0.45,0.660357358,0.317275548,"darkblue",1.33603822537015,-0.0500059666119242,150
"38",0.85,0.629095159,0.199203944,"darkblue",1.39072987237141,0.350041766283469,63
"39",0.5,0.579271677,0.518981507,"darkblue",1.27821435310105,0,49
"40",0.45,0.578077851,2.578033824,"darkblue",1.08986412716518,-0.0500059666119242,150
"41",0.353846154,0.566395475,0.051184532,"darkblue",1.55040628849804,-0.146171286865606,25
"42",0.51589409,0.464305608,1.007346939,"darkblue",1.20028428018457,0.0158959866773383,92
"43",0.000376779,0.459218278,0.075703275,"darkblue",1.50441675260982,-0.499682842157361,93
"44",0.000119318,0.397738472,0.018787746,"darkblue",1.66817350300576,-0.499940333880758,93
"45",0.98707739,0.397153764,0.037916952,"darkblue",1.5856623453594,0.487135514035264,105
"46",0.210591133,0.381711022,0.066266508,"darkblue",1.52006097783921,-0.289443402807936,115
"47",0.333333333,0.361500863,0.03515696,"darkblue",1.59454285753364,-0.166686555706454,13
"48",0.4,0.340313471,0.089102201,"darkblue",1.48526784991274,-0.100011933223848,80
"49",0.45,0.298594106,0.482457121,"darkblue",1.28678941308552,-0.0500059666119242,150
"50",0.599384556,0.257045103,0.011386498,"darkblue",1.72701719587236,0.0993964157815382,75
"51",0.45,0.237411743,1.377260927,"darkblue",1.16353150172906,-0.0500059666119242,150
