"","X","LRR","var.LRR","col","scale","pr.st"
"1",0.306221823631734,-4.5682221727328,1,"darkcyan",1,0.525884630358526
"2",0.320065486544562,-2.2020873836079,1,"darkcyan",1,0.528070234692094
"3",0.30962254952119,-2.02175862670864,1,"darkcyan",1,0.526421528814381
"4",0.331170511794199,-1.88664447667945,1,"darkcyan",1,0.529823469472717
"5",0.321359568077717,-1.23307913158101,1,"darkcyan",1,0.528274541184145
"6",0.321600327432723,-1.05279852655275,1,"darkcyan",1,0.528312551694294
"7",0.321750802029601,-0.940123148410085,1,"darkcyan",1,0.528336308263137
"8",0.32190127662648,-0.827447770267423,1,"darkcyan",1,0.52836006483198
"9",0.32232260549774,-0.51195671146797,1,"darkcyan",1,0.528426583224741
"10",0.333216966311747,-0.354259333939245,1,"darkcyan",1,0.530146558808984
"11",0.333457725666753,-0.173978728910986,1,"darkcyan",1,0.530184569319133
"12",0.333698485021759,0.00630187611727351,1,"darkcyan",1,0.530222579829282
"13",0.324579724450918,1.17817396067196,1,"darkcyan",1,0.528782931757388
"14",-0.374705822163102,-2.44684334390668,1,"darkcyan",1,0.418381405029588
"15",-0.383854677653318,-1.29750633498053,1,"darkcyan",1,0.416937005643926
"16",-0.0953647805177531,-1.27627135986903,1,"darkcyan",1,0.462483099429977
"17",-0.91725702866842,-0.70918677508863,1,"darkcyan",1,0.332724720408794
"18",-1.17357545699135,-0.640425903299006,1,"darkcyan",1,0.292257781041405
"19",-1.17345507731385,-0.550285600784877,1,"darkcyan",1,0.292276786296479
"20",-1.16262090633859,-0.437658374513216,1,"darkcyan",1,0.293987259253185
"21",-1.15193720996021,-0.437706526384217,1,"darkcyan",1,0.295673975641047
"22",-1.17315412812009,-0.324934844499553,1,"darkcyan",1,0.292324299434165
"23",-1.17267260941008,0.0356263655569657,1,"darkcyan",1,0.292400320454463
"24",-1.3969098536785,0.126777857362119,1,"darkcyan",1,0.256998281564429
"25",-1.29118640191163,-0.70750145960359,1,"darkcyan",1,0.273689646833613
"26",-1.38727947947827,-0.661997941507516,1,"darkcyan",1,0.25851870197039
"27",-1.38742995407515,-0.774673319650177,1,"darkcyan",1,0.258494945401546
"28",-1.30241180683877,-1.11308466904617,1,"darkcyan",1,0.271917406797916
"29",-1.47434408123221,-1.85597173485172,1,"darkcyan",1,0.244773151237754
"30",-1.6973775287256,-0.863417217905273,1,"darkcyan",1,0.209561164898465
"31",-1.81477780921025,-0.772747244810132,1,"darkcyan",1,0.191026289887054
"32",-1.92179534251028,-0.907476179871315,1,"darkcyan",1,0.174130618125819
"33",-2.08202069326656,-0.884218826177766,1,"darkcyan",1,0.148834623621653
"34",-2.03880438904304,-0.523850223605252,1,"darkcyan",1,0.1556575101934
"35",-2.03850343984928,-0.298499467319927,1,"darkcyan",1,0.155705023331086
"36",-1.81426619558086,-0.389650959125081,1,"darkcyan",1,0.191107062221121
"37",-1.69605335227307,0.128126109750151,1,"darkcyan",1,0.209770222704284
"38",-2.0487658073564,0.0170397433505269,1,"darkcyan",1,0.154084825335985
"39",-2.15560277114018,0.0175212620605385,1,"darkcyan",1,0.137217661457362
"40",-2.23029836103069,0.085463552043143,1,"darkcyan",1,0.125424900683631
"41",-2.40075598437472,0.44679519203568,1,"darkcyan",1,0.098513459498132
"42",-2.36888546475584,0.311440282651482,1,"darkcyan",1,0.103545100779107
"43",-2.47554185902336,0.447132255132687,1,"darkcyan",1,0.0867064447830959
"44",-2.54009546108426,0.109395031930708,1,"darkcyan",1,0.0765148767493927
"45",-2.39091494573886,-0.184235077434229,1,"darkcyan",1,0.100067139100473
"46",-2.38035162903798,-0.27442353181936,1,"darkcyan",1,0.101734850233261
"47",-2.39127608477137,-0.454655984976617,1,"darkcyan",1,0.100010123335249
"48",-2.39133627461012,-0.499726136233682,1,"darkcyan",1,0.100000620707712
"49",-2.43467295851114,-0.950235041320325,1,"darkcyan",1,0.0931587288808903
"50",-2.60467915806454,-0.250877266899804,1,"darkcyan",1,0.0663185574019207
"51",-2.86168976953311,-0.700423134566424,1,"darkcyan",1,0.0257423378178525
"52",-2.88383963019363,-1.28623879716626,1,"darkcyan",1,0.0222453708841437
"53",-3.09739317808368,-1.19513545723211,1,"darkcyan",1,-0.0114699516180283
"54",-3.09712232380929,-0.99231977657532,1,"darkcyan",1,-0.0114271897941107
"55",-3.04349317748178,-0.834815006530598,1,"darkcyan",1,-0.00296034865841852
"56",-2.9578430369385,-0.699989767727414,1,"darkcyan",1,0.0105618903270917
"57",-3.28927838402321,-0.878777664754637,1,"darkcyan",1,-0.0417643282067892
"58",-3.09640004574428,-0.451477961490542,1,"darkcyan",1,-0.0113131582636635
"59",-3.08547559001089,-0.271245508333284,1,"darkcyan",1,-0.00958843136565224
