"","X","LRR","var.LRR","scale","col","Land.use","soil","ref","pr.st"
"80",5.16478597392351,0.337540423,0.004214986,1.71770312494086,"darkgreen","upland","Clcic Haploxerepts","Vallejo et al. 2006",0.128218331002146
"81",5.29831736654804,0.454736157,0.138235615,1.30460196841134,"darkgreen","grassland","Typic Xerofluvent","Vallejo et al. 2005",0.361652754044197
"82",5.16478597392351,1.338892122,0.133676435,1.30857133290743,"darkgreen","upland","Clcic Haploxerepts","Vallejo et al. 2006",0.128218331002146
"83",4.49980967033027,0.350202429,0.000821182,1.91129368486016,"darkgreen","upland","Fluvisol","Weiske et al. 2001",-1.03426755875723
"84",5.07517381523383,0.241696959,0.000388099,2,"darkgreen","upland","Fluvisol","Weiske et al. 2001",-0.0284381836206064
"85",5.19295685089021,0.337038969,0.000594304,1.94956469773039,"darkgreen","upland","Fluvisol","Weiske et al. 2001",0.177465570037543
"86",4.49980967033027,0.51335407,0.000999624,1.88802072673297,"darkgreen","upland","Fluvisol","Weiske et al. 2001",-1.03426755875723
"87",5.07517381523383,0.630448586,0.000590183,1.95038825927748,"darkgreen","upland","Fluvisol","Weiske et al. 2001",-0.0284381836206064
"88",5.19295685089021,0.748474245,0.000523335,1.9646159925605,"darkgreen","upland","Fluvisol","Weiske et al. 2001",0.177465570037543
"90",5.01063529409626,0.121185557,0.007738811,1.64578952325856,"darkgreen","upland","Andosol","Akiyama & Tsuruta 2002",-0.141261933524114
"91",5.01063529409626,0.298044859,0.031247509,1.48060039456638,"darkgreen","upland","Andosol","Akiyama & Tsuruta 2002",-0.141261933524114
"92",5.29831736654804,-0.147157644,0.00943051,1.62239019863446,"darkgreen","upland","Andosol","Akiyama et al. 2000",0.361652754044197
"93",5.01063529409626,0.362001976,0.05327129,1.41746220448443,"darkgreen","upland","Andosol","Akiyama & Tsuruta 2002",-0.141261933524114
"94",5.01063529409626,2.251291799,0.125391336,1.3161440970357,"darkgreen","upland","Andosol","Akiyama & Tsuruta 2002",-0.141261933524114
"95",5.29831736654804,0.029852963,0.013388361,1.58091388232009,"darkgreen","upland","Andosol","Akiyama et al. 2000",0.361652754044197
"96",6.39692965521615,1.657447132,0.048450521,1.42868884161103,"darkgreen","grassland","Gleysol","Ball et al. 2004",2.28220432406543
"97",6.39692965521615,1.42222637,0.013126051,1.58325578589139,"darkgreen","grassland","Gleysol","Ball et al. 2004",2.28220432406543
"98",6.39692965521615,2.68880974,0.030698332,1.48269901335992,"darkgreen","grassland","Gleysol","Ball et al. 2004",2.28220432406543
"99",6.39692965521615,1.704492458,0.040144548,1.45094653898799,"darkgreen","grassland","Gleysol","Ball et al. 2004",2.28220432406543
"100",6.39692965521615,0.484245986,0.022661371,1.51862571258684,"darkgreen","grassland","Gleysol","Ball et al. 2004",2.28220432406543
"105",4.49980967033027,-0.026202372,0.010263452,1.61237261872366,"darkgreen","upland","Andosol","Chu et al. 2007",-1.03426755875723
"106",4.49980967033027,1.252762968,0.042477986,1.4442594784444,"darkgreen","upland","Andosol","Chu et al. 2007",-1.03426755875723
"108",4.60517018598809,1.92022533,0.704958771,1.11177800893462,"darkgreen","grassland","Gleysol","Dobbie and Smith 2003",-0.850080374750572
"109",4.60517018598809,0.08918035,0.341083437,1.19770624751087,"darkgreen","grassland","Gleysol","Dobbie et al. 2003",-0.850080374750572
"110",4.49980967033027,2.490851712,0.298971692,1.21330305425477,"darkgreen","upland","Ultisol","Hadi et al. 2008",-1.03426755875723
"111",5.52146091786225,-0.255020776,0.049731896,1.42559933464172,"darkgreen","upland","Andosol","Hou & Tsuruta 2003",0.751743691709
"112",5.52146091786225,-0.293547192,0.224882764,1.24700738731087,"darkgreen","upland","Andosol","Hou & Tsuruta 2003",0.751743691709
"113",5.01063529409626,-0.012951152,0.028472987,1.49160563437987,"darkgreen","upland","Andosol","Yan et al. 2001",-0.141261933524114
"114",5.01063529409626,2.54489856,1.812672535,1,"darkgreen","upland","Andosol","Yan et al. 2001",-0.141261933524114
"118",4.60517018598809,-0.782656294,0.811713279,1.0950888174909,"darkgreen","grassland","Gleysol","Dobbie & Smith 2003",-0.850080374750572
"119",4.60517018598809,0.167350926,0.361535662,1.19081392947705,"darkgreen","grassland","Gleysol","Dobbie & Smith 2003",-0.850080374750572
