"","X","LRR","var.LRR","col","scale","Study","Sys1","pr.st"
"175",0.833333333,-0.470948958,0.019741016,"darkgreen",1.03128644181634,10,"T",0.56025990813182
"176",0.5,-0.100124902,0.029878604,"darkgreen",1.02067040689368,10,"T",-1.01567386813042
"285",0.333333333,-0.068992871,0.10680102,"darkgreen",1.00578109190535,25,"T",-1.80364075862544
"286",0.666666667,-0.510825624,0.295222222,"darkgreen",1.00208993226043,25,"T",-0.2277069776354
"323",0.857142857,1.704748092,48.71940181,"blue",1.00001038505212,28,"A",0.672826607449366
"324",0.857142857,-1.749199855,14.60383754,"blue",1.00004000205604,28,"A",0.672826607449366
"333",0.857142857,-0.492476485,3.239786028,"blue",1.00018835882856,28,"A",0.672826607449366
"334",0.857142857,0.297251523,269.3622492,"blue",1,28,"A",0.672826607449366
"402",0.8,-0.415991521,0.041284361,"darkgreen",1.01495909668282,34,"T",0.402666531923937
"403",0.8,-0.510825624,0.013888889,"darkgreen",1.04447004853471,34,"T",0.402666531923937
"404",0.8,-0.228502302,0.00061767,"darkgreen",2,34,"T",0.402666531923937
"532",0.833333333,-0.153199431,0.588144797,"darkgreen",1.00104790988814,51,"T",0.56025990813182
"533",0.333333333,0.651239062,0.57186222,"darkgreen",1.00107781221466,51,"T",-1.80364075862544
"534",0.666666667,0.394700742,0.539920197,"darkgreen",1.00114171193284,51,"T",-0.2277069776354
"535",0.916666667,-0.386376512,0.578973473,"darkgreen",1.00106454580016,51,"T",0.954243355743231
"584",0.9375,-0.437781169,0.151219958,"darkgreen",1.0040822961719,58,"T",1.05273921528218
"585",0.875,-0.814584472,0.189209927,"darkgreen",1.00326218370829,58,"T",0.757251631937526
"586",0.75,-0.607508487,0.22718084,"darkgreen",1.00271656038709,58,"T",0.16627646524821
"587",0.96875,-0.761392109,0.162855031,"darkgreen",1.00379047531795,58,"T",1.20048300695451
"636",0.75,-0.037457563,0.044689544,"darkgreen",1.0138190924325,59,"T",0.16627646524821
"637",0.9375,-0.865227243,0.292147643,"darkgreen",1.00211195096322,59,"T",1.05273921528218
"638",0.4375,-0.024187226,0.044143606,"darkgreen",1.01399002589834,59,"T",-1.31116145147508
"639",0.4375,0.009547523,0.042532548,"darkgreen",1.01452003029502,59,"T",-1.31116145147508
"640",0.9375,-0.335628387,0.080088738,"darkgreen",1.00771004489827,59,"T",1.05273921528218
"641",0.75,-0.018981782,0.045522927,"darkgreen",1.01356606591403,59,"T",0.16627646524821
"642",0.9375,-0.685273124,0.175904637,"darkgreen",1.00350910619548,59,"T",1.05273921528218
"643",0.4375,0.009832921,0.022797999,"darkgreen",1.02709093629435,59,"T",-1.31116145147508
"644",0.75,0.057597492,0.020784581,"darkgreen",1.02971547780986,59,"T",0.16627646524821
"645",0.75,-0.028154689,0.053890594,"darkgreen",1.01145928806208,59,"T",0.16627646524821
"646",0.4375,-0.044014053,0.057322439,"darkgreen",1.01077309308068,59,"T",-1.31116145147508
"647",0.9375,-0.256263929,0.063350161,"darkgreen",1.0097478228802,59,"T",1.05273921528218
"648",0.75,-1.293758108,7.696641838,"darkgreen",1.00007795897871,59,"T",0.16627646524821
"649",0.4375,-0.548213156,3.69622172,"darkgreen",1.00016481577671,59,"T",-1.31116145147508
"650",0.9375,-1.574662998,11.79776711,"darkgreen",1.00005006185403,59,"T",1.05273921528218
"651",0.75,0.442768469,1.479470484,"darkgreen",1.00041520183511,59,"T",0.16627646524821
"652",0.4375,-0.979935997,8.470704312,"darkgreen",1.00007062545469,59,"T",-1.31116145147508
"653",0.9375,-0.341848594,0.66214774,"darkgreen",1.00093053712326,59,"T",1.05273921528218
"654",0.75,0.013315776,0.471747765,"darkgreen",1.00130703249246,59,"T",0.16627646524821
"655",0.4375,-0.008608375,0.038868968,"darkgreen",1.01588882643853,59,"T",-1.31116145147508
"656",0.75,-0.053400777,0.047951015,"darkgreen",1.01287900705462,59,"T",0.16627646524821
"657",0.9375,-0.196362529,0.041326815,"darkgreen",1.01494372722255,59,"T",1.05273921528218
"706",0.4375,-0.013675427,0.096592765,"darkgreen",1.00639229988534,59,"T",-1.31116145147508
"707",0.75,-0.029287192,0.098982974,"darkgreen",1.00623788531222,59,"T",0.16627646524821
"708",0.9375,-0.987073951,0.815494275,"darkgreen",1.00075512659609,59,"T",1.05273921528218
"709",0.9375,-0.479674034,0.149013638,"darkgreen",1.00414277326043,59,"T",1.05273921528218
"710",0.4375,-0.010554188,0.08158801,"darkgreen",1.00756832196131,59,"T",-1.31116145147508
"711",0.75,-0.025699243,0.083241662,"darkgreen",1.00741792656533,59,"T",0.16627646524821
"712",0.75,-0.063971651,0.086040204,"darkgreen",1.00717657664536,59,"T",0.16627646524821
"713",0.9375,-0.52880731,0.154216462,"darkgreen",1.00400293053287,59,"T",1.05273921528218
"714",0.4375,-0.013455861,0.061566875,"darkgreen",1.01003023522133,59,"T",-1.31116145147508
"715",0.9375,-0.107231361,0.012801738,"darkgreen",1.04824673500243,59,"T",1.05273921528218
"716",0.4375,0.014907849,0.011862968,"darkgreen",1.05206489754832,59,"T",-1.31116145147508
"717",0.75,0.001200841,0.012978714,"darkgreen",1.04758881773918,59,"T",0.16627646524821
"718",0.75,-0.382992252,1.267609169,"darkgreen",1.00048497967014,59,"T",0.16627646524821
"719",0.4375,-0.327642157,1.211767181,"darkgreen",1.00050743470932,59,"T",-1.31116145147508
"720",0.9375,-0.439863763,0.8615698,"darkgreen",1.00071462087084,59,"T",1.05273921528218
"721",0.75,-0.365591261,1.240793928,"darkgreen",1.00049551029586,59,"T",0.16627646524821
"722",0.9375,-0.993877807,2.48806592,"darkgreen",1.00024596054978,59,"T",1.05273921528218
"723",0.4375,0.137602219,0.745619593,"darkgreen",1.0008261071069,59,"T",-1.31116145147508
"724",0.9375,-0.325490356,0.032111671,"darkgreen",1.01923281356101,59,"T",1.05273921528218
"725",0.4375,0.036004757,0.009960083,"darkgreen",1.06201239256965,59,"T",-1.31116145147508
"726",0.75,0.030878731,0.010255612,"darkgreen",1.06022535752602,59,"T",0.16627646524821
"727",0.4375,-0.152574112,0.102798085,"darkgreen",1.0060062956551,59,"T",-1.31116145147508
"728",0.9375,-0.595891167,0.145605974,"darkgreen",1.00423978159728,59,"T",1.05273921528218
"729",0.75,-0.01556647,0.079626979,"darkgreen",1.00775476895437,59,"T",0.16627646524821
