"","X","LRR","var.LRR","col","scale","Study","Sys1","pr.st"
"367",0.666666667,-0.693147181,0.060227273,"blue",1.00423208707611,31,"A",-0.14514374441949
"368",0.333333333,0,0.088888889,"blue",1.00272990569039,31,"A",-1.69955291601098
"369",0.666666667,0,0.155555556,"blue",1.00137709160013,31,"A",-0.14514374441949
"370",0.666666667,0,0.066666667,"blue",1.00378209440922,31,"A",-0.14514374441949
"371",0.333333333,0,0.266666667,"blue",1.00062552822117,31,"A",-1.69955291601098
"382",0.666666667,-3.218875825,0.282346667,"blue",1.000567095375,31,"A",-0.14514374441949
"383",0.333333333,-1.021651248,0.016503045,"blue",1.01657527233678,31,"A",-1.69955291601098
"384",0.923076923,-0.09090165,0.030919389,"darkgreen",1.00864802278363,32,"T",1.05055561403868
"491",0.875,-0.470720132,0.045529308,"darkgreen",1.00573604380251,45,"T",0.826361984327774
"492",0.9375,-0.579787332,0.027695185,"darkgreen",1.00970447466092,45,"T",1.11781370341828
"493",0.75,0.015987068,0.026720284,"darkgreen",1.01007411346464,45,"T",0.24345854614677
"494",0.5,-0.163303066,0.015750087,"darkgreen",1.01738807682192,45,"T",-0.922348330215237
"495",0.5,-0.201268016,0.00697149,"darkgreen",1.03982064141401,45,"T",-0.922348330215237
"496",0.9375,-1.052342935,0.025339555,"darkgreen",1.0106462909616,45,"T",1.11781370341828
"497",0.875,-0.684668136,0.030116102,"darkgreen",1.0088900718749,45,"T",0.826361984327774
"498",0.75,-0.333367656,0.016245848,"darkgreen",1.01684443933399,45,"T",0.24345854614677
"521",0.833333333,-1.235625222,0.050152947,"darkgreen",1.00516789932197,49,"T",0.63206083671303
"522",0.666666667,-0.882926632,0.058836397,"darkgreen",1.00434221856856,49,"T",-0.14514374441949
"523",0.5,-0.453242972,0.050493035,"darkgreen",1.00513021803256,49,"T",-0.922348330215237
"536",0.9375,-0.251348241,0.113400099,"darkgreen",1.00204762006821,52,"T",1.11781370341828
"537",0.875,-0.266681262,0.083309141,"darkgreen",1.00294132119356,52,"T",0.826361984327774
"538",0.25,-0.284452579,0.090581659,"darkgreen",1.00267091647964,52,"T",-2.08815520657724
"539",0.96875,0.384013785,0.079443237,"darkgreen",1.00310521549652,52,"T",1.26353956296353
