"","X","LRR","var.LRR","scale","col","ref","pr.st"
"162",5,-0.2838,0.0091,1.80057295776438,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"163",5,-0.2412,0.0167,1.75884203554601,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"164",3.5,0.2021,0.0381,1.70214964236668,"darkgreen","Chapin et al. 1995",0.445860427095274
"165",3.5,0.0696,0.0332,1.71161190231801,"darkgreen","Chapin et al. 1995",0.445860427095274
"166",3.5,-0.2542,0.1509,1.60754360632754,"darkgreen","Chapin et al. 1995",0.445860427095274
"167",3.5,-1.6487,0.1369,1.61423602902365,"darkgreen","Chapin et al. 1995",0.445860427095274
"168",3.5,-0.2406,0.0446,1.69132265211538,"darkgreen","Chapin et al. 1995",0.445860427095274
"169",3.5,0.0259,0.1033,1.63359251233836,"darkgreen","Chapin et al. 1995",0.445860427095274
"170",3.5,0.0408,0.2136,1.58365929644153,"darkgreen","Chapin et al. 1995",0.445860427095274
"171",3.5,0.8575,0.2139,1.58356282730045,"darkgreen","Chapin et al. 1995",0.445860427095274
"172",3.5,-0.0924,0.0615,1.66923810912498,"darkgreen","Chapin et al. 1995",0.445860427095274
"173",3.5,-0.9205,0.1669,1.60061674268635,"darkgreen","Chapin et al. 1995",0.445860427095274
"174",3.5,0.0935,0.0744,1.6561498176572,"darkgreen","Chapin et al. 1995",0.445860427095274
"175",3.5,-2.615,0.545,1.51927725026675,"darkgreen","Chapin et al. 1995",0.445860427095274
"176",3.5,-0.2801,0.1202,1.62317792284916,"darkgreen","Chapin et al. 1995",0.445860427095274
"177",3.5,0.3818,0.0412,1.69677297603077,"darkgreen","Chapin et al. 1995",0.445860427095274
"178",3.5,0.1562,0.0258,1.72894498864276,"darkgreen","Chapin et al. 1995",0.445860427095274
"179",3.5,0.2154,0.0342,1.70957216059984,"darkgreen","Chapin et al. 1995",0.445860427095274
"180",3.5,-0.2167,0.1073,1.63098121058114,"darkgreen","Chapin et al. 1995",0.445860427095274
"181",3.5,-0.8473,0.5001,1.52518686425823,"darkgreen","Chapin et al. 1995",0.445860427095274
"182",3.5,-0.6617,0.1036,1.63339318619074,"darkgreen","Chapin et al. 1995",0.445860427095274
"183",3.5,-2.5802,0.7722,1.4953262648673,"darkgreen","Chapin et al. 1995",0.445860427095274
"184",3.5,-1.0531,0.1141,1.62675772401146,"darkgreen","Chapin et al. 1995",0.445860427095274
"185",3.5,-0.9555,0.2794,1.56520144586344,"darkgreen","Chapin et al. 1995",0.445860427095274
"186",3.5,-0.6259,0.2651,1.56881256017161,"darkgreen","Chapin et al. 1995",0.445860427095274
"187",3.5,-0.0723,0.2679,1.56809039253451,"darkgreen","Chapin et al. 1995",0.445860427095274
"188",3.5,-0.8979,0.2094,1.5850242767944,"darkgreen","Chapin et al. 1995",0.445860427095274
"189",3.5,0.6833,0.1687,1.59987941944721,"darkgreen","Chapin et al. 1995",0.445860427095274
"190",3.5,0.1994,0.1857,1.59328021102776,"darkgreen","Chapin et al. 1995",0.445860427095274
"191",3.5,0.3054,0.2387,1.57602275430675,"darkgreen","Chapin et al. 1995",0.445860427095274
"192",3.5,-0.4595,0.4241,1.53651693596669,"darkgreen","Chapin et al. 1995",0.445860427095274
"193",3.5,0.2034,0.0712,1.65917159004946,"darkgreen","Chapin et al. 1995",0.445860427095274
"230",0.2,0.389,0.0596,1.67139509997016,"darkgreen","Day et al. 2008",-1.81786260206289
"231",1.3,0.4638,0.0659,1.66448848526473,"darkgreen","Day et al. 2008",-1.06328825901017
"232",0.2,0.1234,0.0524,1.68024456496067,"darkgreen","Day et al. 2008",-1.81786260206289
"233",1.3,0.2877,0.045,1.69070894936216,"darkgreen","Day et al. 2008",-1.06328825901017
"234",0.8,0.5644,0.0695,1.66083262650284,"darkgreen","Day et al. 2009",-1.40627659676141
"235",0.8,0.3389,0.0547,1.67729193959133,"darkgreen","Day et al. 2009",-1.40627659676141
"236",0.8,0.1744,0.0938,1.6402234788213,"darkgreen","Day et al. 2009",-1.40627659676141
"237",0.8,-0.3438,0.1584,1.60420957490425,"darkgreen","Day et al. 2009",-1.40627659676141
