"X","LRR","var.LRR","col","scale"
-0.764044943735387,-0.154840573,0.008678841,"darkgreen",1.03190296309807
-0.584269663490973,-0.217984469,0.011947733,"darkgreen",1.0230575990456
-0.629213483012751,-0.550690222,0.009915927,"darkgreen",1.02786960093687
-0.719101124213609,-0.57490448,0.015848049,"darkgreen",1.01727795807489
-0.719101124213609,-0.517088692,0.034355997,"darkgreen",1.00774028812478
-0.584269663490973,-0.479413003,0.01355973,"darkgreen",1.02026576204321
-0.764044943735387,-0.206119668,0.014008084,"darkgreen",1.01960346372869
-0.629213483012751,-0.5562396,0.019657259,"darkgreen",1.01384713335142
0.115569823322452,-0.129875081,0.003538084,"blue",1.07887718385945
-0.449438202768337,0.000958926,0.007703618,"blue",1.03599566246703
0.149812734256112,-0.214625409,0.004479705,"blue",1.06220774575086
-0.0898876401222068,-0.153511294,0.005140285,"blue",1.05415857414071
-0.269662921445272,0.001517067,0.012652927,"blue",1.02174873518071
0.0898876401222068,-0.100536363,0.004260715,"blue",1.06542699618836
0.0898876401222068,-0.02341754,0.008532889,"blue",1.0324559496921
-0.269662921445272,-0.073427712,0.016711511,"blue",1.01636318349971
0,-0.295541518,0.007514595,"blue",1.03691183383179
0.0898876401222068,-0.513779052,0.022762805,"darkgreen",1.01189974929915
-0.269662921445272,-0.11822444,0.049554137,"darkgreen",1.00523550373561
-0.269662921445272,-0.588707343,0.063161016,"darkgreen",1.00401569460817
0.134831460722636,-0.504574397,0.02504261,"darkgreen",1.01077758947943
0.202247191083954,-0.531640037,0.021365406,"darkgreen",1.01270595502937
0,-0.469627552,0.024971259,"darkgreen",1.01080960366187
0.0898876401222068,-0.169089313,0.002692953,"darkgreen",1.10376515527919
-0.269662921445272,-0.068922397,0.004411454,"darkgreen",1.06317678245892
-0.269662921445272,-0.176135479,0.00155029,"darkgreen",1.18056119525176
0.0898876401222068,-0.313305906,0.000910301,"darkgreen",1.30780508142053
-0.269662921445272,-0.039701547,0.000280464,"darkgreen",2
0.0898876401222068,-0.402106748,0.000285155,"darkgreen",1.98354227888528
0.202247191083954,-0.312350757,0.006275142,"darkgreen",1.0442868555973
0,-0.115156876,0.006752433,"darkgreen",1.04112631200983
-0.269662921445272,-0.021745191,0.004924014,"darkgreen",1.05655604971326
0,-0.131041685,0.005431965,"darkgreen",1.05122751305252
0.202247191083954,-0.147519471,0.010239872,"darkgreen",1.02697443033166
-0.269662921445272,0.001346744,0.011270175,"darkgreen",1.02446946247615
-0.0898876401222068,0.083841336,0.019019503,"darkgreen",1.01432575772347
-0.449438202768337,0.020441412,0.015255506,"darkgreen",1.01796562768166
0.115569823322452,0.045120435,0.050453922,"blue",1.00513452584813
0.115569823322452,-1.809886854,0.108925714,"blue",1.00214925707856
0.115569823322452,0.298855373,0.017957532,"blue",1.01519818497836
0.115569823322452,-0.100083459,0.018254119,"blue",1.01494431756083
0.115569823322452,-1.813982606,0.026856148,"blue",1.0100209905389
0.115569823322452,0.577793099,0.042132154,"blue",1.00623294827167
0.115569823322452,-0.113328685,0.130076531,"blue",1.00173040549037
0.115569823322452,0.171850257,0.040820252,"blue",1.00644697816263
0.115569823322452,-1.505026614,0.348177519,"blue",1.00037920329913
0.115569823322452,-0.39877612,0.657627444,"blue",1
0.115569823322452,0,0.096388889,"blue",1.00248429391113
0.0299625470669529,-0.244526019,0.195625615,"darkgreen",1.00100762846202
