"","X","LRR","var.LRR","col","scale","pr.st","row","Studies"
"4",1,0.71,0.145985401459854,"darkgreen",1.66162808129269,-0.189655172413793,4,"Andresen_2010"
"9",0.65,-0.35,0.117647058823529,"darkgreen",1.63437194374058,-0.25,9,"Bergner_2004"
"12",1.5,0.13,0.005,"darkgreen",1.23550843759123,-0.103448275862069,12,"Bjork_2007"
"13",1.5,-0.38,0.004,"darkgreen",1.2073270759675,-0.103448275862069,13,"Bjork_2007"
"28",3.5,0.32,0.00109968658932204,"darkgreen",1.04424944099385,0.241379310344828,28,"Briones_2009"
"29",5,-0.39,0.0856164383561644,"darkgreen",1.59423468858277,0.5,29,"Bronson_2008"
"30",5,-0.48,0.131406044678055,"darkgreen",1.64834027437451,0.5,30,"Bronson_2008"
"37",1.35,0.16,0.0025,"darkgreen",1.14796913278593,-0.129310344827586,37,"Christensen_1997"
"39",6,-0.36,0.00333333333333333,"darkgreen",1.18430122694093,0.672413793103448,39,"Cole_2002"
"45",2.25,-0.01,0.0234576589256392,"darkgreen",1.43072625559134,0.0258620689655172,45,"Dijkstra_2010"
"47",4,0.06,0.0322476620445018,"darkgreen",1.47091866064217,0.327586206896552,47,"Dukes_2005"
"49",4,-0.19,0.0903342366757001,"darkgreen",1.60100892224579,0.327586206896552,49,"Edwards_1999"
"50",4,0.04,0.042247570764681,"darkgreen",1.50503043593512,0.327586206896552,50,"Edwards_1999"
"51",2.7,-0.36,0.136612021857923,"darkgreen",1.65324709797581,0.103448275862069,51,"Edwards_2004"
"64",1.3,0.1,0.00666666666666667,"darkgreen",1.27184053174624,-0.137931034482759,64,"Gorissen_2004"
"65",0.2,0.16,0.01,"darkgreen",1.32304774239654,-0.327586206896552,65,"Gorissen_2004"
"66",0.8,-0.06,0.00666666666666667,"darkgreen",1.27184053174624,-0.224137931034483,66,"Gorissen_2004"
"67",3,-0.26,0.116414435389988,"darkgreen",1.63304175860774,0.155172413793103,67,"Grogan_2000"
"68",3,-0.45,0.0984251968503937,"darkgreen",1.61184233315572,0.155172413793103,68,"Grogan_2000"
"77",4.5,0.32,0.0341530054644809,"darkgreen",1.4781684883652,0.413793103448276,77,"Hobbie_1998"
"78",0.83,-0.32,0.186567164179104,"darkgreen",1.69260570151959,-0.218965517241379,78,"Hovenden_2008"
