"","X","LRR","var.LRR","col","scale","pr.st","row","Studies"
"84",2.8,0.52,0.0388500388500389,"darkgreen",1.49444235152162,0.120689655172414,84,"Jonasson_1999"
"85",2.8,-0.19,0.0535618639528656,"darkgreen",1.53499844707434,0.120689655172414,85,"Jonasson_1999"
"86",2.8,0.53,0.0315955766192733,"darkgreen",1.46833870455296,0.120689655172414,86,"Jonasson_1999"
"87",2.8,0.56,0.0348553502962705,"darkgreen",1.48073930638503,0.120689655172414,87,"Jonasson_1999"
"90",2.1,0.03,0.00666666666666667,"darkgreen",1.27184053174624,0,90,"Kim_2011"
"98",1.55,0.26,0.00366394313560254,"darkgreen",1.19624434725156,-0.0948275862068966,98,"Lin_2011"
"100",2.35,0.15,0.0553403431101273,"darkgreen",1.53912377369899,0.0431034482758621,100,"Liu_2011"
"101",1.35,0.32,0.00842672958624758,"darkgreen",1.30142945017667,-0.129310344827586,101,"Luo_2009"
"102",2.1,0.18,0.0367647058823529,"darkgreen",1.48747469575371,0,102,"Luo_2009"
"112",5,-0.96,0.0274122807017544,"darkgreen",1.45040188087753,0.5,112,"Melillo_2011"
"135",1.5,0.36,0.0357909806728704,"darkgreen",1.48408470384933,-0.103448275862069,135,"Rillig_2002"
"136",2,-0.08,0.0217770034843206,"darkgreen",1.42133735117272,-0.0172413793103448,136,"Rinnan_2007"
"137",2,-0.1,0.106044538706257,"darkgreen",1.62125899973566,-0.0172413793103448,137,"Rinnan_2007"
"138",2,0.1,0.0232558139534884,"darkgreen",1.42963485015969,-0.0172413793103448,138,"Rinnan_2007"
"139",2,0.16,0.00825014437752661,"darkgreen",1.29875482125734,-0.0172413793103448,139,"Rinnan_2008"
"140",2,0.08,0.00925069380203515,"darkgreen",1.31321125508338,-0.0172413793103448,140,"Rinnan_2008"
"146",0.9,-0.22,0.244498777506112,"darkgreen",1.72675759937074,-0.206896551724138,146,"Saleska_2002"
"165",0.9,-0.01,0.0247279920870425,"darkgreen",1.43738677621937,-0.206896551724138,165,"Shaw_2002"
"175",1.4,-0.04,0.0466853408029879,"darkgreen",1.51764495707938,-0.120689655172414,175,"Sjogersten_2008"
"176",1.4,-0.19,0.0805152979066023,"darkgreen",1.58647652650607,-0.120689655172414,176,"Sjogersten_2008"
"177",1.6,0.02,0.00333333333333333,"darkgreen",1.18430122694093,-0.0862068965517241,177,"Sorensen_2008"
"184",1.85,0.05,0.487804878048781,"darkgreen",1.81398849737827,-0.0431034482758621,184,"Sullivan_2008"
"185",1.85,1.47,0.78740157480315,"darkgreen",1.87446024757164,-0.0431034482758621,185,"Sullivan_2008"
"188",2.9,0.25,2.12765957446809,"darkgreen",2,0.137931034482759,188,"Updegraff_2001"
"189",2.9,0.23,0.000774647341797647,"darkgreen",1,0.137931034482759,189,"Updegraff_2001"
"190",2.9,0.57,0.0525762355415352,"darkgreen",1.53265280350905,0.137931034482759,190,"Updegraff_2001"
"191",2.9,0.61,0.0874890638670166,"darkgreen",1.59696721666042,0.137931034482759,191,"Updegraff_2001"
"192",3,0.34,0.0198609731876862,"darkgreen",1.40970607935807,0.155172413793103,192,"Usami_2001"
"193",5,0.22,0.02050020500205,"darkgreen",1.41370680242565,0.5,193,"Usami_2001"
"196",3,0.01,1.05263157894737,"darkgreen",1.91112425393063,0.155172413793103,196,"Volder_2007"
"197",4,-0.91,0.0284738041002278,"darkgreen",1.45520016269236,0.327586206896552,197,"Wan_2001"
"198",1.7,0.1,0.074794315632012,"darkgreen",1.57716809651855,-0.0689655172413793,198,"Wan_2005"
"207",2.9,0.45,0.0282725473565168,"darkgreen",1.45430434023209,0.137931034482759,207,"Weltzin_2000"
"208",2.9,0.5,0.0259268861809697,"darkgreen",1.44336604787544,0.137931034482759,208,"Weltzin_2000"
"209",2.9,0.51,0.0127877237851662,"darkgreen",1.35410314129266,0.137931034482759,209,"Weltzin_2000"
"210",2.9,0.61,0.0175716042874714,"darkgreen",1.39423872446788,0.137931034482759,210,"Weltzin_2000"
"218",0.51,0.61,0.0119445771619685,"darkgreen",1.3454889494489,-0.274137931034483,218,"Yin_2008"
"219",0.51,0.32,0.00168730806870718,"darkgreen",1.09831642854523,-0.274137931034483,219,"Yin_2008"
"220",0.69,0.36,0.00223573600429261,"darkgreen",1.13385970082421,-0.243103448275862,220,"Yin_2008"
"221",0.69,0.06,0.00365457003983481,"darkgreen",1.19592085188789,-0.243103448275862,221,"Yin_2008"
