"","X","LRR","var.LRR","col","scale","pr.st"
"1",-1.79175946922805,0.215828732,1,"darkcyan",1,0.23232625651701
"2",-2.30258509299405,0.191268066,1,"darkcyan",1,0.0844864576974178
"3",-2.28848616861454,-0.268384191,1,"darkcyan",1,0.0885668758418157
"4",-1.99197551589856,-0.504210076,1,"darkcyan",1,0.17438104256709
"5",-2.15755932094379,0.023757764,1,"darkcyan",1,0.126458864652062
"6",-2.83321334405622,-0.907173967,1,"darkcyan",1,-0.069084487523922
"7",-3.06805293513362,-1.784215711,1,"darkcyan",1,-0.137050220416881
"8",-2.80759383143847,-0.036549304,1,"darkcyan",1,-0.0616698563561667
"9",-1.79175946922805,0.260150264,1,"darkcyan",1,0.23232625651701
"10",-2.30258509299405,-0.786763361,1,"darkcyan",1,0.0844864576974178
"11",-2.27006190128849,0.484523703,1,"darkcyan",1,0.0938991063489734
"12",-2.30258509299405,-0.198734499,1,"darkcyan",1,0.0844864576974178
"13",-3.40119738166216,-0.421897138,1,"darkcyan",1,-0.233466699272307
"14",-3.04452243772342,-0.127529691,1,"darkcyan",1,-0.13024017831758
"15",-3.04452243772342,-0.68616176,1,"darkcyan",1,-0.13024017831758
"16",-2.07944154167984,-0.257158622,1,"darkcyan",1,0.149067199538384
"17",-3.52636052461616,0.278678849,1,"darkcyan",1,-0.269690594498098
"18",-1.38629436111989,-0.402126207,1,"darkcyan",1,0.34967330651256
"19",-1.94591014905531,-0.480283163,1,"darkcyan",1,0.187712978652145
"20",-1.94591014905531,0.011174507,1,"darkcyan",1,0.187712978652145
"21",-2.484906649788,-0.460719041,1,"darkcyan",1,0.0317201495428349
"22",-2.484906649788,-0.1580316,1,"darkcyan",1,0.0317201495428349
"23",-1.94591014905531,-0.746803076,1,"darkcyan",1,0.187712978652145
"24",-3.78713982328146,-0.076109965,1,"darkcyan",1,-0.345163627285217
"25",-3.90941961955803,0.271752423,1,"darkcyan",1,-0.380553043242768
"27",-1.09861228866811,-0.377831144,1,"darkcyan",1,0.432932363491186
"28",-3.68887945411394,-1.490748779,1,"darkcyan",1,-0.316725756250933
"29",-2.19722457733622,-0.524755994,1,"darkcyan",1,0.114979206521461
"30",-3.29583686600433,-0.22428505,1,"darkcyan",1,-0.202973950448264
"31",-4.23410650459726,-1.318126657,1,"darkcyan",1,-0.474521790169898
"32",-3.55534806148941,-2.977017642,1,"darkcyan",1,-0.278079977137173
"33",-2.59450815970308,-2.632745984,1,"darkcyan",1,0
"34",-2.484906649788,0.626495135,1,"darkcyan",1,0.0317201495428349
"35",-2.68580459215489,-1.346141002,1,"darkcyan",1,-0.0264224141833673
"36",-2.90142159408275,-0.479431117,1,"darkcyan",1,-0.088824871507437
"37",-2.86846692250811,-0.379619265,1,"darkcyan",1,-0.0792873467845353
"38",-3.3322045101752,-0.918422319,1,"darkcyan",1,-0.213499235296206
"39",-2.96165829322024,-0.607323657,1,"darkcyan",1,-0.106258181560267
"40",-2.63905732961526,-0.529298309,1,"darkcyan",1,-0.0128931283220305
"41",-1.6094379124341,0.374642594,1,"darkcyan",1,0.285092564671593
"42",-1.09861228866811,0.512845498,1,"darkcyan",1,0.432932363491186
"43",-2.19722457733622,-0.075605585,1,"darkcyan",1,0.114979206521461
"44",-2.77258872223978,-0.209012524,1,"darkcyan",1,-0.0515389074357911
"45",-2.70805020110221,-0.383187263,1,"darkcyan",1,-0.0328605922981318
"46",-2.56494935746154,0.334188929,1,"darkcyan",1,0.00855471451201115
"47",-2.56494935746154,0.224957915,1,"darkcyan",1,0.00855471451201115
"48",-2.56494935746154,0.473999612,1,"darkcyan",1,0.00855471451201115
"49",-2.56494935746154,-0.082622499,1,"darkcyan",1,0.00855471451201115
"50",-2.63905732961526,0.111474445,1,"darkcyan",1,-0.0128931283220305
"51",-2.56494935746154,-0.302064102,1,"darkcyan",1,0.00855471451201115
"52",-2.56494935746154,-0.091487377,1,"darkcyan",1,0.00855471451201115
"53",-2.484906649788,0.142836505,1,"darkcyan",1,0.0317201495428349
"54",-2.16905370036952,-0.835112505,1,"darkcyan",1,0.123132236811178
"55",-1.94591014905531,0.021405203,1,"darkcyan",1,0.187712978652145
"56",-1.94591014905531,-0.91546547,1,"darkcyan",1,0.187712978652145
"57",-2.30258509299405,-0.114556556,1,"darkcyan",1,0.0844864576974178
"58",-1.79175946922805,-0.871455656,1,"darkcyan",1,0.23232625651701
"59",-3.48124008933569,-0.862379742,1,"darkcyan",1,-0.256632134303131
"60",-3.78418963391826,-0.796053445,1,"darkcyan",1,-0.344309802845639
"61",-3.13549421592915,-0.071860409,1,"darkcyan",1,-0.156568633200173
"62",-1.94591014905531,-0.488671003,1,"darkcyan",1,0.187712978652145
"63",-1.38629436111989,-0.467166911,1,"darkcyan",1,0.34967330651256
