"","X","LRR","var.LRR","scale","col","row.ID","study.ID","dist.inv","pr.st"
"3",-2.70805020110221,0.21012818320214,0.0062324171827383,1.84132162250522,"darkgreen",32,4,NA,-0.973839680323576
"4",-2.484906649788,0.0534999097443099,0.00232623905687767,1.98943293661309,"darkgreen",91,4,NA,-0.753100881049362
"195",-2.70805020110221,0.600386301079055,0.0169834508478171,1.69066085177108,"darkgreen",532,19,0,-0.973839680323576
"196",-2.70805020110221,-0.0727593542824282,0.0139255959283175,1.72049480013189,"darkgreen",533,19,0,-0.973839680323576
"197",-2.70805020110221,-0.0741079721537218,0.00554914823770968,1.85877312658095,"darkgreen",534,19,0,-0.973839680323576
"198",-2.70805020110221,0.598836501088704,0.0186048307823129,1.67695723843005,"darkgreen",535,19,0,-0.973839680323576
"235",-1.09861228866811,-1.50707589977253,0.032993751310476,1.59085725616887,"darkgreen",634,24,NA,0.618253795847958
"236",-1.09861228866811,-1.73864964391411,0.440940853787033,1.20121967142629,"darkgreen",635,24,NA,0.618253795847958
"237",-1.09861228866811,-1.83468451394509,0.211463695792803,1.31166049927673,"darkgreen",636,24,NA,0.618253795847958
"238",-1.09861228866811,-1.51732262352629,0.161801921958893,1.35188986870505,"darkgreen",637,24,NA,0.618253795847958
"239",-1.09861228866811,-1.30221124390935,0.175550302287129,1.33963340631627,"darkgreen",638,24,NA,0.618253795847958
"240",-1.09861228866811,-2.60268968544438,0.396640925333198,1.21713214978249,"darkgreen",639,24,NA,0.618253795847958
"241",-1.09861228866811,-0.860201265223111,0.154796425192696,1.3585419531972,"darkgreen",640,24,NA,0.618253795847958
"242",-1.09861228866811,-2.31911439494526,0.445151973616544,1.19979117809822,"darkgreen",641,24,NA,0.618253795847958
"243",-1.09861228866811,-2.92673940206704,0.844013762912573,1.10364346769126,"darkgreen",642,24,NA,0.618253795847958
"244",-1.09861228866811,-1.77070606003022,0.614006463457572,1.15145985033175,"darkgreen",643,24,NA,0.618253795847958
"245",-1.09861228866811,-1.50407739677627,0.655864197530864,1.14154856097728,"darkgreen",644,24,NA,0.618253795847958
"246",-1.09861228866811,-1.09861228866811,0.361289664319967,1.2311618137835,"darkgreen",645,24,NA,0.618253795847958
"247",-1.09861228866811,-1.42711635564015,0.630167901234568,1.14755522163253,"darkgreen",646,24,NA,0.618253795847958
"248",-1.09861228866811,-0.693147180559945,1.6820987654321,1,"darkgreen",647,24,NA,0.618253795847958
"250",-1.09861228866811,-1.5118969854929,0.0326031666369283,1.5926470106714,"darkgreen",649,24,NA,0.618253795847958
"280",-2.99573227355399,0.236977764043759,0.134849483440765,1.37927453884478,"darkgreen",768,32,NA,-1.25842148818548
"281",-2.99573227355399,0.124769408944363,0.0145158302585733,1.71425613001831,"darkgreen",769,32,NA,-1.25842148818548
"305",-3.55534806148941,-1.27422282681751,0.0654957188293684,1.4878092577119,"darkgreen",839,36,0.693147180559945,-1.81200646232536
"306",-3.55534806148941,-3.74346800442132,0.0735741019299212,1.47032942334708,"darkgreen",840,36,0.693147180559945,-1.81200646232536
"320",-1.6094379124341,-0.747805593097809,0.421505683726034,1.20799431203965,"darkgreen",871,39,-1.6094379124341,0.112933188711838
"323",-1.6094379124341,0.507578867667121,0.0161991098192027,1.6977669712663,"darkgreen",878,42,NA,0.112933188711838
"324",-2.39789527279837,0.354786512866066,0.046187688077311,1.54030084821895,"darkgreen",879,42,NA,-0.667027199928989
"325",-1.6094379124341,0.246497974113118,0.0753509155066542,1.46674308400361,"darkgreen",880,42,NA,0.112933188711838
"326",-2.39789527279837,0.647470711638354,0.105927338617692,1.41555512984218,"darkgreen",881,42,NA,-0.667027199928989
"389",-2.30258509299405,-0.0411016756855519,0.130313161441794,1.38441723036376,"darkgreen",1119,61,NA,-0.572744149736821
"390",-1.38629436111989,0.205539846895962,0.135948014932061,1.37805519324992,"darkgreen",1120,61,NA,0.333671987986053
"485",0,-0.169899036795397,0.110496908221879,1.4092078083104,"darkgreen",1476,82,NA,1.70502666488337
"486",-1.6094379124341,0.851752210736584,0.267862065972222,1.27612939972298,"darkgreen",1477,82,NA,0.112933188711838
"487",-1.6094379124341,1.03407376753054,0.221086757330247,1.30497236898296,"darkgreen",1478,82,NA,0.112933188711838
"488",-1.6094379124341,0.0896121586896871,0.131996306335034,1.38248850644602,"darkgreen",1479,82,NA,0.112933188711838
"489",-3.40119738166216,-0.437043630059831,0.00216829490763841,2,"darkgreen",1489,83,-1.09861228866811,-1.65951701877224
"645",-1.09861228866811,-0.532344007845674,0.0309423079136072,1.60050485740134,"darkgreen",1705,100,-0.693147180559945,0.618253795847958
"646",-1.09861228866811,-0.258640115290632,0.00807027975674311,1.80248340871249,"darkgreen",1706,100,-2.484906649788,0.618253795847958
"649",-4.00733318523247,-0.305700577954459,0.0478868741886017,1.5348711893325,"darkgreen",1722,104,1.38629436111989,-2.25912067610052
"694",0,-0.196710294246054,0.00880714478259364,1.78935190342495,"darkgreen",1877,120,-1.30833281965018,1.70502666488337
"695",0,0.451985123743057,1.03912970179056,1.07238790683815,"darkgreen",1878,120,-1.30833281965018,1.70502666488337
"696",0,0.249215791623985,0.0143065387957352,1.71643878977031,"darkgreen",1879,120,-1.30833281965018,1.70502666488337
"743",-2.484906649788,-2.89732685617905,0.147594621626926,1.36570192057446,"darkgreen",1963,123,-1.16315080980568,-0.753100881049362
