"","X","LRR","var.LRR","scale","col","ID.study","ID.case","system","pr.st"
"297",-0.67144401242096,0.254669804960984,0.0271224218018546,1.42833850537577,"darkcyan","HLH138",297,"marine",-0.690969754106883
"298",-0.67144401242096,0.159941083961963,0.0306792511668934,1.42121855164194,"darkcyan","HLH138",298,"marine",-0.690969754106883
"299",-0.890408716234217,0.336472236621213,0.0580643990883525,1.38435704090789,"darkblue","HLH143",299,"freshwater",-0.915151213826965
"300",-0.890408716234217,0.177681177237452,0.180498233852966,1.31882510715022,"darkblue","HLH143",300,"freshwater",-0.915151213826965
"353",1.27254035615093,-0.202236799504043,0.0614850228386104,1.38104967784891,"darkcyan","HLH359",353,"marine",1.29932934812259
"354",1.27254035615093,0.0540671017381304,0.0387111493734276,1.40778239091674,"darkcyan","HLH359",354,"marine",1.29932934812259
"355",1.27254035615093,0.405464383911483,0.0246912710754466,1.43376465594706,"darkcyan","HLH360",355,"marine",1.29932934812259
"356",1.27254035615093,0.287681602913812,0.0455291079167421,1.39840912082701,"darkcyan","HLH360",356,"marine",1.29932934812259
"357",1.27254035615093,0.276252433720224,0.0791358108227869,1.36646769895622,"darkcyan","HLH361",357,"marine",1.29932934812259
"358",1.27254035615093,0.169898542115397,0.0279705243540925,1.42655943893067,"darkcyan","HLH361",358,"marine",1.29932934812259
"359",1.27254035615093,0.392561375887785,0.0218874230817663,1.44072928565578,"darkcyan","HLH362",359,"marine",1.29932934812259
"360",1.27254035615093,0.351976244170028,0.0750221478553434,1.3695521036673,"darkcyan","HLH362",360,"marine",1.29932934812259
"361",1.27254035615093,0.606134900720468,0.0206100763778916,1.44420370101351,"darkcyan","HLH363",361,"marine",1.29932934812259
"362",1.27254035615093,0.438254233049398,0.0339775358938884,1.41531848863778,"darkcyan","HLH363",362,"marine",1.29932934812259
"363",1.27254035615093,0.538995221216361,0.0475125059726511,1.39594532943926,"darkcyan","HLH364",363,"marine",1.29932934812259
"364",1.27254035615093,0.265702727688965,0.0270131406427274,1.42857178065391,"darkcyan","HLH364",364,"marine",1.29932934812259
"375",-0.365032934605843,0.501394848716667,0.0308544803664278,1.42088947285704,"darkblue","HLH501",375,"freshwater",-0.377258541739159
"376",-0.365032934605843,0.713089024902476,0.169982408062453,1.3222933955847,"darkblue","HLH501",376,"freshwater",-0.377258541739159
"377",-0.365032934605843,1.06476999321906,0.116497938554195,1.34412381155686,"darkblue","HLH501",377,"freshwater",-0.377258541739159
"378",-0.365032934605843,1.62038079757523,0.0189695539703612,1.44899623067327,"darkblue","HLH501",378,"freshwater",-0.377258541739159
"379",-0.365032934605843,0.575871254731116,0.16292302178193,1.3247442451966,"darkblue","HLH502",379,"freshwater",-0.377258541739159
"380",-0.365032934605843,1.89836023736579,0.0368630679722982,1.41060882925339,"darkblue","HLH502",380,"freshwater",-0.377258541739159
"381",-0.365032934605843,1.32848897082426,0.185537150841638,1.31723419185978,"darkblue","HLH502",381,"freshwater",-0.377258541739159
"382",-0.365032934605843,0.683903809702611,0.0276696537941344,1.42718432508478,"darkblue","HLH502",382,"freshwater",-0.377258541739159
"383",-0.365032934605843,1.47899136114285,0.0112802815707919,1.47902892342851,"darkblue","HLH503",383,"freshwater",-0.377258541739159
"384",-0.365032934605843,1.23736270477418,0.0397871218398274,1.4061983231642,"darkblue","HLH503",384,"freshwater",-0.377258541739159
"385",-0.365032934605843,2.11777281486565,0.0366015115810595,1.41102025802653,"darkblue","HLH503",385,"freshwater",-0.377258541739159
"386",-0.365032934605843,1.1337449939494,0.0837129332279675,1.36321886137459,"darkblue","HLH503",386,"freshwater",-0.377258541739159
"387",-0.365032934605843,1.25751632842076,0.153744725984376,1.32809455802545,"darkblue","HLH504",387,"freshwater",-0.377258541739159
"388",-0.365032934605843,0.712394152772024,0.00816641126111415,1.4976933155034,"darkblue","HLH504",388,"freshwater",-0.377258541739159
"389",-0.365032934605843,0.596747649484529,0.0212609816773689,1.44240713017408,"darkblue","HLH504",389,"freshwater",-0.377258541739159
"390",-0.365032934605843,1.30095140519516,0.0150647636713221,1.46231311661435,"darkblue","HLH504",390,"freshwater",-0.377258541739159
"391",-0.365032934605843,0.00642297217693935,0.296416001425195,1.29016388433622,"darkblue","HLH505",391,"freshwater",-0.377258541739159
"392",-0.365032934605843,1.42341328669083,0.122564447844832,1.34119071506142,"darkblue","HLH505",392,"freshwater",-0.377258541739159
"393",-0.365032934605843,0.643153140404132,0.00998468295920732,1.48607828092453,"darkblue","HLH505",393,"freshwater",-0.377258541739159
"394",-0.365032934605843,-0.0104540531851254,0.135036019318046,1.33559159619663,"darkblue","HLH505",394,"freshwater",-0.377258541739159
